customer_id,customer_name,industry,account_manager,subscription_start_date,subscription_end_date,subscription_status,plan_type,monthly_fee,user_count,last_login_date,monthly_active_users,feature_usage_score,retention_rate_6m,retention_rate_12m,churn_risk_score,last_success_touch_date,notes
ALPHA-ENT_001,Alpha Technologies Inc.,Technology,j.smith,20-03-2022,,active,Enterprise,4100,850,11-06-2024,810,92.5,97.2,96.8,0.06,30-05-2024,"High engagement, custom integrations deployed, annual review completed."
BETA-PRO_002,Beta Financial Group,Finance,k.jones,17-09-2023,,active,Pro,418.99,48,12-06-2024,44,81.4,93.5,,0.19,07-06-2024,"Moderate engagement, recent campaign spikes noted, considering upgrade."
GAMMA-BSC_003,Gamma Retail Solutions,Retail,,25-02-2024,,active,Basic,29.99,4,10-06-2024,2,32.1,,,0.44,08-06-2024,"Minimal engagement, price sensitive, single store operator."
DELTA-TRIAL_004,Delta Health Network,Healthcare,n.riley,01-06-2024,,trial,Pro,0,14,13-06-2024,7,41.7,,,0.39,11-06-2024,"Pilot program, early adopter, integration delays noted."
EPSILON-ENT_005,Epsilon Manufacturing,Manufacturing,d.lee,13-07-2021,,active,Enterprise,1950,180,12-06-2024,162,88.6,96.1,94.7,0.08,10-06-2024,"Custom workflows enabled, high engagement, annual review scheduled."
ZETA-PRO_006,Zeta Energy Corp,Energy,r.taylor,15-12-2022,,active,Pro,505.5,38,12-06-2024,34,73.8,82.6,78.2,0.27,03-06-2024,"Renewal approaching, moderate engagement, training requested."
THETA-BSC_007,Theta Agricultural Supply,Agriculture,,09-12-2023,,active,Basic,48,7,09-06-2024,4,19.4,,,0.51,02-06-2024,"Low engagement, price sensitive, considering alternative solutions."
IOTA-ENT_008,Iota Aerospace Systems,Aerospace,s.hughes,28-09-2021,,active,Enterprise,3200,410,13-06-2024,401,99,98.2,97.5,0.03,12-06-2024,"High engagement, custom integrations, quarterly business review."
KAPPA-PRO_009,Kappa Consulting,Professional Services,b.evans,05-02-2023,,active,Pro,346.75,27,11-06-2024,24,69.2,77.5,,0.32,05-06-2024,"Moderate engagement, campaign spikes, considering upgrade."
LAMBDA-BSC_010,Lambda Veterinary Care,Veterinary,,21-10-2023,30-05-2024,expired,Basic,39.99,3,30-05-2024,0,0,0,,0.95,30-05-2024,"Minimal engagement, price increase cited as reason for expiry."
MU-TRIAL_011,Mu Media Partners,Media,g.foster,28-05-2024,,trial,Basic,0,2,12-06-2024,1,8.2,,,0.61,05-06-2024,"Demo phase, minimal engagement, testing core features."
NU-ENT_012,Nu Testing Labs,Testing,m.diaz,14-06-2022,,active,Enterprise,2850,140,11-06-2024,135,87.8,91.5,90.2,0.09,09-06-2024,"High engagement, custom integrations, quarterly check-in."
XI-PRO_013,Xi Construction,Construction,t.white,03-03-2023,,active,Pro,512.25,54,10-06-2024,49,85.5,79.6,,0.21,06-06-2024,"Moderate engagement, new project onboarding underway."
OMICRON-BSC_014,Omicron Media Group,Media,,17-07-2023,28-05-2024,cancelled,Basic,45,8,28-05-2024,0,0,0,0,0.99,28-05-2024,"Minimal engagement, business merger prompted cancellation."
PI-TRIAL_015,Pi Advertising Solutions,Advertising,l.martin,05-06-2024,,trial,Pro,0,19,13-06-2024,11,59.1,,,0.54,12-06-2024,"Early adopter, pilot campaign in progress."
RHO-ENT_016,Rho Education Services,Education,c.lam,22-04-2021,,active,Enterprise,1150,110,11-06-2024,99,82.6,94.1,92.8,0.13,01-06-2024,"High engagement, custom reporting enabled, annual review scheduled."
SIGMA-PRO_017,Sigma Transportation,Transportation,v.stone,16-01-2023,,active,Pro,399.99,32,11-06-2024,28,77.7,74.5,,0.29,09-06-2024,"Moderate engagement, training scheduled."
TAU-BSC_018,Tau Solo Practice,Testing,,04-09-2023,22-05-2024,expired,Basic,19.99,1,22-05-2024,0,0,0,,1,22-05-2024,"Minimal engagement, solo operator, account expired due to inactivity."
UPSILON-ENT_019,Upsilon Aerospace,Aerospace,d.carter,12-11-2020,,active,Enterprise,5000,1000,13-06-2024,998,100,99.9,99.7,0.01,12-06-2024,"Exceptional engagement, multiple custom integrations, annual review positive."
PHI-PRO_020,Phi Healthcare Partners,Healthcare,a.morris,05-09-2022,,active,Pro,597,55,10-06-2024,52,89.3,89.5,87,0.11,09-06-2024,"High engagement, compliance integrations enabled."
CHI-BSC_021,Chi Agriculture Group,Agriculture,,13-12-2023,,active,Basic,21.5,2,08-06-2024,1,12.8,,,0.48,04-06-2024,"Low engagement, price sensitive, evaluating alternatives."
PSI-TRIAL_022,Psi Professional Services,Professional Services,t.campbell,20-05-2024,,trial,Pro,0,12,12-06-2024,5,29.3,,,0.67,10-06-2024,"Pilot, initial engagement positive, integration planned."
OMEGA-ENT_023,Omega Manufacturing Ltd.,Manufacturing,m.hall,11-01-2022,,active,Enterprise,2750,120,13-06-2024,118,94.2,93.7,93,0.07,11-06-2024,"High engagement, custom reporting enabled."
ALPHAPRIME-PRO_024,AlphaPrime Logistics,Transportation,f.wilson,14-05-2023,,active,Pro,350,26,12-06-2024,22,63.9,71.2,,0.33,06-06-2024,"Moderate engagement, logistics integration launched."
BETAPRIME-BSC_025,BetaPrime Retail,Retail,,17-02-2024,,active,Basic,22.99,1,09-06-2024,1,9.4,,,0.56,04-06-2024,"Minimal engagement, solo operator, evaluating platform."
GAMMAPRIME-ENT_026,GammaPrime Technologies,Technology,s.nguyen,05-04-2022,,active,Enterprise,1230,96,13-06-2024,85,80.9,91.4,89.2,0.15,12-06-2024,"High engagement, custom integrations deployed."
DELTAPRIME-PRO_027,DeltaPrime Health,Healthcare,r.brown,15-08-2023,,active,Pro,425,39,11-06-2024,36,78.7,84.9,,0.23,08-06-2024,"Moderate engagement, compliance training scheduled."
EPSILONPRIME-BSC_028,EpsilonPrime Supply,Manufacturing,,19-11-2023,29-05-2024,cancelled,Basic,28.5,3,29-05-2024,0,0,0,,0.97,29-05-2024,"Low engagement, business merger prompted cancellation."
ZETAPRIME-ENT_029,ZetaPrime Energy,Energy,e.king,03-12-2021,,active,Enterprise,2100,250,12-06-2024,235,95.1,98.3,97.4,0.04,03-06-2024,"High engagement, custom workflows enabled."
THETAPRIME-PRO_030,ThetaPrime Consulting,Professional Services,u.harris,11-06-2023,,active,Pro,315,28,11-06-2024,24,60,70.4,,0.38,09-06-2024,"Moderate engagement, training scheduled."
IOTAPRIME-BSC_031,IotaPrime Veterinary,Veterinary,,11-11-2023,03-06-2024,expired,Basic,37.99,5,03-06-2024,0,0,0,,0.93,03-06-2024,"Minimal engagement, price increase cited as reason for expiry."
KAPPAPRIME-ENT_032,KappaPrime Aerospace,Aerospace,x.morgan,18-08-2021,,active,Enterprise,1690,120,13-06-2024,105,84.3,91,90.7,0.11,12-06-2024,"High engagement, annual review completed."
LAMBDAPRIME-PRO_033,LambdaPrime Construction,Construction,q.baker,12-04-2023,,active,Pro,548,53,12-06-2024,48,86.7,77.2,,0.18,11-06-2024,"Moderate engagement, new project onboarding underway."
MUPRIME-BSC_034,MuPrime Media,Media,,23-07-2023,31-05-2024,cancelled,Basic,40,9,31-05-2024,0,0,0,0,0.99,31-05-2024,"Minimal engagement, business merger prompted cancellation."
NUPRIME-ENT_035,NuPrime Testing Labs,Testing,z.clark,23-07-2022,,active,Enterprise,2560,165,13-06-2024,157,89.8,96.3,94.1,0.07,12-06-2024,"High engagement, quarterly check-in completed."
XIPRIME-PRO_036,XiPrime Construction,Construction,w.murphy,22-02-2023,,active,Pro,490,49,11-06-2024,42,73.2,76.2,,0.25,07-06-2024,"Moderate engagement, campaign spikes."
OMICRONPRIME-BSC_037,OmicronPrime Retail,Retail,,06-12-2023,,active,Basic,42.99,6,09-06-2024,4,21.7,,,0.49,05-06-2024,"Low engagement, price sensitive."
PIPRIME-TRIAL_038,PiPrime Advertising,Advertising,y.martinez,03-06-2024,,trial,Pro,0,20,13-06-2024,16,66.1,,,0.44,12-06-2024,"Pilot, initial engagement positive."
RHOPRIME-ENT_039,RhoPrime Education,Education,s.edwards,13-05-2021,,active,Enterprise,1350,102,12-06-2024,94,82.9,94.6,92.3,0.12,10-06-2024,"High engagement, annual review scheduled."
SIGMAPRIME-PRO_040,SigmaPrime Logistics,Transportation,j.ward,21-07-2023,,active,Pro,383,33,13-06-2024,29,71.3,73.6,,0.31,08-06-2024,"Moderate engagement, logistics integration launched."
